Level,Position 1 (%),Position 2 (%),Position 3 (%),Position 4 (%),Position 5 (%),Position 6 (%),Position 7 (%)
blur_1,66.20,92.71,94.63,94.92,94.91,93.08,94.34
blur_2,77.85,94.92,93.09,93.89,93.83,92.70,92.90
blur_3,81.32,92.67,93.68,94.54,93.63,91.30,86.15
