Level,Position 1 (%),Position 2 (%),Position 3 (%),Position 4 (%),Position 5 (%),Position 6 (%),Position 7 (%)
blur_1,96.56,96.55,94.17,95.96,96.20,96.21,96.29
blur_2,75.19,73.00,69.58,71.61,72.31,72.65,73.73
blur_3,69.83,68.47,64.45,66.71,67.36,66.95,67.38
