Level,Exact Match (%),Char Accuracy (%),Failed Images,Time (s)
blur_1,93.51899999999999,99.11081349206684,0,8455.64
blur_2,68.843,95.96208134920956,0,8751.79
blur_3,54.713,93.38662619048895,0,9056.87
