Level,Position 1 (%),Position 2 (%),Position 3 (%),Position 4 (%),Position 5 (%),Position 6 (%),Position 7 (%)
illum_1,13.99,35.76,31.93,34.71,36.12,37.44,39.33
illum_2,53.70,52.27,24.31,25.21,22.12,20.97,22.70
illum_3,98.33,98.51,95.98,97.85,98.04,98.04,98.06
