Level,Position 1 (%),Position 2 (%),Position 3 (%),Position 4 (%),Position 5 (%),Position 6 (%),Position 7 (%)
corrupt_1,98.74,99.50,95.16,97.92,97.84,86.27,57.92
corrupt_2,98.92,99.79,9.14,58.94,62.49,62.89,59.70
corrupt_3,9.91,8.50,6.60,5.51,4.88,4.67,4.38
